id,annotation,width,height,cell_type,plate_time,sample_date,sample_id,elapsed_timedelta
0030fd0e6378,118145 6 118849 7 119553 8 120257 8 120961 9 121665 10 122369 12 123074 13 123778 14 124482 15 125186 16 125890 17 126594 18 127298 19 128002 20 128706 21 129410 22 130114 23 130818 24 131523 24 132227 25 132931 25 133635 24 134339 24 135043 23 135748 21 136452 19 137157 16 137864 11 138573 4,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,189036 1 189739 3 190441 6 191144 7 191848 8 192552 9 193256 10 193960 11 194664 11 195368 12 196072 12 196776 13 197480 13 198185 13 198889 13 199593 14 200297 13 201002 11 201706 10 202410 9 203115 7 203819 6 204523 5 205227 5 205932 3 206636 2 207340 1,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,173567 3 174270 5 174974 5 175678 6 176382 7 177085 9 177789 9 178493 10 179197 11 179901 12 180605 12 181308 14 182012 15 182716 15 183420 16 184125 16 184831 15 185536 14 186241 14 186947 12 187651 13 188356 12 189061 12 189767 10 190472 10 191177 9 191883 7 192589 5 193295 2 194000 1,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,196723 4 197427 6 198130 7 198834 8 199538 8 200242 9 200946 9 201650 10 202354 10 203058 10 203762 11 204466 11 205170 12 205874 12 206578 13 207282 15 207986 16 208690 17 209394 18 210098 20 210802 21 211505 23 212208 24 212910 25 213613 25 214316 24 215018 24 215721 24 216426 21 217130 20 217835 17 218539 15 219243 13 219947 10 220652 7 221358 2,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,167818 3 168522 5 169225 7 169928 8 170632 9 171336 9 172040 10 172743 12 173447 12 174151 13 174855 13 175558 18 176261 20 176965 21 177668 23 178372 22 179074 23 179776 24 180480 24 181184 22 181889 16 182594 10 183300 3,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,205984 2 206687 4 207391 5 208095 5 208799 6 209503 7 210207 7 210911 8 211616 8 212320 8 213024 9 213728 9 214432 9 215136 10 215840 10 216544 10 217249 9 217953 9 218658 9 219363 8 220068 7 220773 6 221478 5 222184 4 222889 3 223595 1,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,203101 2 203805 5 204509 7 205213 10 205917 12 206621 14 207325 16 208029 17 208733 18 209437 18 210141 19 210845 20 211549 21 212253 22 212957 23 213662 23 214367 23 215081 14 215789 11 216495 10 217201 9 217906 9 218612 8 219317 7 220023 5 220729 2,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,191900 2 192604 3 193308 4 194012 5 194717 5 195421 6 196125 7 196829 8 197533 8 198237 9 198942 8 199646 9 200350 9 201054 9 201758 9 202462 9 203167 8 203871 8 204575 8 205279 8 205984 7 206690 4 207396 1,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,184848 3 185551 5 186254 7 186958 8 187662 9 188367 8 189071 9 189775 10 190479 11 191184 11 191888 12 192592 12 193296 12 194001 12 194705 12 195409 12 196113 12 196818 11 197522 11 198226 12 198931 11 199635 11 200340 10 201045 9 201750 9 202455 8 203160 7 203865 6 204571 4 205276 3 205981 3 206686 2 207391 1,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
0030fd0e6378,165119 1 165822 4 166526 6 167230 9 167935 9 168639 9 169343 10 170047 10 170752 10 171456 11 172161 10 172865 11 173570 10 174275 10 174980 10 175684 10 176389 10 177094 9 177798 10 178503 9 179208 9 179912 9 180617 9 181322 8 182027 7 182731 7 183436 6 184142 4 184848 1,704,520,shsy5y,11h30m00s,2019-06-16,shsy5y[diff]_E10-4_Vessel-714_Ph_3,0 days 11:30:00
